browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"113.0",MacOS,en-CA,2023-06-09_23:17:55,2023-06-09_19:17:55,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start,678.402

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"4",test,"",word,"",placeholder1-1,"",waitResponseWindow,"1500",m,"","","","","",10276,timeout,1488,""
"5",test,A,word,m,2p1_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,984;996,"118","8.30",11260,m,972,"1"
"7",test,"",word,m,placeholder1-2,"",waitResponseWindow,"1500",m,"","","","","",15568,timeout,1480,"0"
"8",test,L,word,m,2p2_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","119","8.40",18568,timeout,2989,"0"
"11",test,T,word,m,2p3_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1001","120","8.34",21569,timeout,2991,"0"
"14",test,L,word,m,2p4_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,330;1000,"40","8.12",21898,m,319,"1"
"16",test,"",word,m,placeholder1-5,"",waitResponseWindow,"1500",m,"","","","","",27472,timeout,1490,"0"
"17",test,O,word,m,2p5_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"996","120","8.30",30473,timeout,2989,"0"
"20",test,C,word,m,2p6_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","119","8.40",33471,timeout,2981,"0"
"23",test,H,word,m,2p7_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"997","120","8.31",36468,timeout,2985,"0"
"26",test,M,word,m,2p8_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"999","118","8.47",39468,timeout,2982,"0"
"29",test,H,word,m,2p9_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","118","8.48",42469,timeout,2986,"0"
"32",test,E,word,m,2p10_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1004","120","8.37",45474,timeout,2991,"0"
"35",test,K,word,m,2p11_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","119","8.40",48476,timeout,2985,"0"
"38",test,P,word,m,2p12_1,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","120","8.33",51476,timeout,2990,"0"
"41",test,K,word,m,2p13_1C,"1000",waitResponseWindow,"3000",m,correct,+1;+3,"1000","120","8.33",54476,timeout,2989,"0"
"44",test,B,word,m,2p14_1,"1000",waitResponseWindow,"3000",m,correct,+1;+2,"1001","120","8.34",57471,timeout,2982,"0"
"47",test,"",word,"",placeholder2,"",waitResponseWindow,"1500",m,"","","","","",158344,timeout,1474,""
"48",test,D,word,m,2p1_2,"1000",waitResponseWindow,"3000",m,"","","1004","121","8.30",161349,timeout,2993,"0"
"49",test,R,word,m,2p2_2,"1000",waitResponseWindow,"3000",m,"","","1003","121","8.29",164353,timeout,2993,"0"
"50",test,H,word,m,2p3_2,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",167351,timeout,2986,"0"
"51",test,B,word,m,2p4_2,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.34",170352,timeout,2985,"0"
